trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'e': 0.29375770032353277, 'a': 0.5519999999999999}",20,0,6.207833458957323,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
50,False,"{'e': 0.2865047968601901, 'a': 0.5499999999999999}",25,0,9.717550068732333,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
51,False,"{'e': 0.2794309682214073, 'a': 0.5479999999999999}",30,19,20.76207743555046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'e': 0.2725317930340126, 'a': 0.5459999999999999}",25,16,2.0873961241772463,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'e': 0.26580295908892654, 'a': 0.5439999999999999}",20,12,-8.355776871314294,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'e': 0.2592402606458915, 'a': 0.5419999999999999}",30,12,-29.123219919458414,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
55,False,"{'e': 0.25283959580474646, 'a': 0.5399999999999999}",25,13,-12.663789210630888,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'e': 0.24659696394160643, 'a': 0.5379999999999999}",25,6,13.63586832417884,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'e': 0.24050846320834213, 'a': 0.5359999999999999}",25,13,12.41398209958265,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'e': 0.23457028809379762, 'a': 0.5339999999999999}",25,15,17.25844619509774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'e': 0.22877872704522242, 'a': 0.5319999999999999}",25,11,13.875739496246382,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'e': 0.22313016014842982, 'a': 0.5299999999999999}",20,5,-8.47722580971356,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
61,False,"{'e': 0.21762105686523284, 'a': 0.5279999999999999}",20,0,10.101197873053149,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'e': 0.21224797382674304, 'a': 0.5259999999999999}",25,0,21.58310446063861,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
63,False,"{'e': 0.2070075526811526, 'a': 0.5239999999999999}",25,10,14.842053835291864,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
64,False,"{'e': 0.20189651799465538, 'a': 0.5219999999999999}",20,8,7.341378582312325,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'e': 0.19691167520419406, 'a': 0.5199999999999999}",20,0,-42.35477432931869,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
66,False,"{'e': 0.19204990862075408, 'a': 0.5179999999999999}",30,6,10.410379961192863,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
